05:33:30  |  Core  |  Info  |  * Shutdown: Gui  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_Gui.cpp  |  133
05:33:30  |  Core  |  Info  |  * Shutdown: PointerManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_PointerManager.cpp  |  69
05:33:30  |  Core  |  Info  |  PointerManager successfully shutdown  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_PointerManager.cpp  |  86
05:33:30  |  Core  |  Info  |  * Shutdown: InputManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_InputManager.cpp  |  73
05:33:30  |  Core  |  Info  |  InputManager successfully shutdown  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_InputManager.cpp  |  78
05:33:30  |  Core  |  Info  |  * Shutdown: SkinManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  53
05:33:30  |  Core  |  Info  |  SkinManager successfully shutdown  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  60
05:33:30  |  Core  |  Info  |  * Shutdown: SubWidgetManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  63
05:33:30  |  Core  |  Info  |  SubWidgetManager successfully shutdown  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  83
05:33:30  |  Core  |  Info  |  * Shutdown: LayerManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  48
05:33:30  |  Core  |  Info  |  destroy layer 'Wallpaper'  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  191
05:33:30  |  Core  |  Info  |  destroy layer 'Back'  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  191
05:33:30  |  Core  |  Info  |  destroy layer 'Overlapped'  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  191
05:33:30  |  Core  |  Info  |  destroy layer 'Middle'  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  191
05:33:30  |  Core  |  Info  |  destroy layer 'Modal'  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  191
05:33:30  |  Core  |  Info  |  destroy layer 'Main'  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  191
05:33:30  |  Core  |  Info  |  destroy layer 'Popup'  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  191
05:33:30  |  Core  |  Info  |  destroy layer 'FadeMiddle'  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  191
05:33:30  |  Core  |  Info  |  destroy layer 'Info'  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  191
05:33:30  |  Core  |  Info  |  destroy layer 'ToolTip'  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  191
05:33:30  |  Core  |  Info  |  destroy layer 'DragAndDrop'  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  191
05:33:30  |  Core  |  Info  |  destroy layer 'FadeBusy'  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  191
